Time,CasingPressure,FlowRate,LinePressure,StaticPressure,TubingPressure,Qmin
1443100540,527.246,1023.859,301.352,287.32,273.085,104.859
1443100719,527.338,991.356,301.992,286.443,272.994,105.356
1443100898,527.521,994.293,302.54,286.951,272.902,105.293
1443101078,527.796,960.276,302.632,285.997,272.261,105.276
1443101257,528.07,939.735,302.54,286.285,271.986,105.735
1443101441,528.254,972.458,302.723,285.689,271.803,105.458
1443101621,528.345,1000.005,302.54,285.525,271.986,105.005
1443101799,528.528,961.132,302.814,285.473,272.444,105.132
1443101978,528.711,960.749,303.18,285.522,271.986,105.749
1443102158,528.803,990.889,303.637,285.116,271.803,104.889
1443102342,528.986,977.53,303.728,284.689,271.986,105.53
1443102516,529.078,979.338,304.002,284.484,272.169,105.338
1443102701,529.352,979.106,304.276,284.312,271.894,105.106
1443102879,528.986,912.701,303.545,283.953,271.986,105.701
1443103059,529.352,948.681,302.723,283.516,272.261,105.681
1443103238,529.444,954.394,302.54,283.6,271.711,105.394
1443103417,529.536,1001.438,303.271,283.185,271.803,105.438
1443103602,529.81,981.059,303.728,282.919,271.711,105.059
1443103781,529.994,946.073,303.545,283.018,271.528,105.073
1443103960,530.268,942.188,303.728,282.536,271.253,105.188
1443104140,530.452,941.515,303.363,282.372,270.245,105.515
1443104319,530.726,965.792,302.997,281.664,270.337,105.792
1443104498,531.001,933.911,303.088,281.89,270.52,104.911
1443104676,531.276,986.24,303.545,281.791,270.795,105.24
1443104861,531.459,992.85,302.997,281.403,270.704,104.85
1443105041,531.734,996.034,302.906,281.206,270.245,105.034
1443105220,532.008,925.851,302.266,281,270.704,104.851
1443105399,532.192,937.301,301.809,279.981,270.245,105.301
1443105578,532.558,947.25,302.266,280.006,270.52,105.25
1443105757,532.741,953.405,302.083,279.809,270.245,105.405
1443105953,533.016,924.689,302.723,279.755,269.696,105.689
1443106121,532.924,993.738,302.266,279.492,269.971,105.738
1443106300,533.016,952.876,301.078,279.108,269.879,104.876
1443106480,532.924,972.297,301.261,278.921,269.696,105.297
1443106658,533.291,952.118,300.896,278.722,269.971,105.118
1443106838,533.474,979.305,300.256,278.641,269.696,105.305
1443107017,533.565,938.1,299.342,278.526,269.238,105.1
1443107201,533.657,975.272,298.794,278.181,269.513,105.272
1443107381,534.115,940.613,298.52,277.29,269.238,105.613
1443107559,533.932,925.229,298.702,276.878,268.688,105.229
1443107739,534.298,932.418,298.428,277.278,268.505,105.418
1443107918,534.206,934.949,298.337,276.643,268.688,104.949
1443108097,534.481,949.994,297.058,276.391,268.505,104.994
1443108281,534.664,970.214,296.875,276.277,268.688,105.214
1443108461,534.481,917.215,296.784,276.053,268.505,105.215
1443108641,534.664,959.444,295.779,275.433,268.413,105.444
1443108819,534.939,928.921,295.048,275.177,268.322,104.921
1443108998,535.214,912.84,294.773,275.458,268.23,105.84
1443109177,535.489,907.844,295.504,274.092,268.505,104.844
1443109362,535.672,946.06,295.048,274.222,268.322,105.06
1443109541,535.855,928.075,294.773,273.362,267.955,105.075
1443109720,535.947,899.756,294.042,273.65,267.772,105.756
1443109899,536.13,927.795,293.494,273.425,267.406,105.795
1443110078,536.221,938.795,293.037,273.342,266.948,105.795
1443110258,536.496,976.223,291.758,273.258,267.039,105.223
1443110437,536.221,889.182,292.215,272.35,266.764,105.182
1443110621,536.496,911.346,292.489,271.781,266.581,105.346
1443110800,536.679,932.923,291.758,272.356,266.49,104.923
1443110979,536.954,899.578,291.484,271.371,266.398,105.578
1443111159,536.862,886.748,291.118,271.139,265.94,105.748
1443111338,537.137,882.631,291.575,270.66,265.665,105.631
1443111517,537.687,946.11,290.753,270.84,265.482,105.11
1443111701,537.595,926.372,290.022,270.64,265.207,105.372
1443111880,537.961,872.303,289.839,270.028,264.932,105.303
1443112060,537.87,914.117,288.56,269.109,265.024,105.117
1443112239,538.144,886.841,287.646,268.898,264.749,105.841
1443112418,538.419,883.828,288.012,268.76,264.474,105.828
1443112597,538.694,877.55,288.195,268.59,264.291,105.55
1443112782,538.877,961.354,288.743,268.113,263.833,105.354
1443112961,539.152,920.452,288.012,268.193,263.65,105.452
1443113140,539.427,964.913,287.189,267.976,263.558,104.913
1443113319,539.701,904.23,286.55,267.769,263.467,105.23
1443113498,539.885,945.173,285.545,267.368,263.283,105.173
1443113678,540.159,978.236,285.271,266.879,263.283,105.236
1443113857,540.434,908.668,284.722,266.317,262.917,105.668
1443114041,540.617,896.854,283.991,266.043,262.734,104.854
1443114220,540.342,917.408,284.539,266.257,262.642,105.408
1443114399,540.617,958.949,284.265,266.298,262.459,104.949
1443114579,540.8,900.988,284.996,266.072,262.276,104.988
1443114758,541.167,911.583,284.722,265.131,262.001,105.583
1443114937,540.8,914.623,283.717,264.871,261.726,105.623
